type;target;actual;timestamp
Steps;5000.0;12.584;2021-10-31 00:00:00 +0000
Steps;5000.0;12.802;2021-10-30 00:00:00 +0000
Steps;5000.0;11.137;2021-10-29 00:00:00 +0000
Steps;5000.0;6.368;2021-10-27 00:00:00 +0000
Steps;5000.0;12.582;2021-10-25 00:00:00 +0000
Steps;5000.0;13.506;2021-10-22 00:00:00 +0000
Steps;5000.0;10.264;2021-10-21 00:00:00 +0000
Steps;5000.0;8.594;2021-10-20 00:00:00 +0000
Steps;5000.0;5.690;2021-10-12 00:00:00 +0000
Steps;5000.0;11.464;2021-10-08 00:00:00 +0000
Steps;5000.0;8.206;2021-10-03 00:00:00 +0000
Steps;5000.0;16.797;2021-10-02 00:00:00 +0000
Steps;5000.0;6.268;2021-09-24 00:00:00 +0000
Steps;5000.0;10.894;2021-09-23 00:00:00 +0000
Steps;5000.0;18.033;2021-09-19 00:00:00 +0000
Steps;5000.0;17.497;2021-09-18 00:00:00 +0000
Steps;5000.0;6.886;2021-09-14 00:00:00 +0000
Steps;5000.0;6.222;2021-09-13 00:00:00 +0000
Steps;5000.0;6.547;2021-09-11 00:00:00 +0000
Steps;5000.0;14.009;2021-09-10 00:00:00 +0000
Steps;5000.0;6.765;2021-09-07 00:00:00 +0000
Steps;5000.0;15.853;2021-09-06 00:00:00 +0000
Steps;5000.0;11.838;2021-09-03 00:00:00 +0000
Steps;5000.0;24.635;2021-09-02 00:00:00 +0000
Steps;5000.0;19.722;2021-09-01 00:00:00 +0000
Steps;5000.0;20.024;2021-08-31 00:00:00 +0000
Steps;5000.0;12.500;2021-08-30 00:00:00 +0000
Steps;5000.0;7.941;2021-08-29 00:00:00 +0000
Steps;5000.0;11.695;2021-08-28 00:00:00 +0000
Steps;5000.0;6.036;2021-08-25 00:00:00 +0000
Steps;5000.0;5.117;2021-08-24 00:00:00 +0000
Steps;5000.0;9.259;2021-08-23 00:00:00 +0000
Steps;5000.0;10.001;2021-08-20 00:00:00 +0000
Steps;5000.0;5.368;2021-08-19 00:00:00 +0000
Steps;5000.0;7.139;2021-08-18 00:00:00 +0000
Steps;5000.0;12.489;2021-08-17 00:00:00 +0000
Steps;5000.0;9.487;2021-08-15 00:00:00 +0000
Steps;5000.0;14.006;2021-08-14 00:00:00 +0000
Steps;5000.0;9.593;2021-08-13 00:00:00 +0000
Steps;5000.0;8.576;2021-08-11 00:00:00 +0000
Steps;5000.0;6.479;2021-08-10 00:00:00 +0000
Steps;5000.0;6.167;2021-08-09 00:00:00 +0000
Steps;5000.0;6.768;2021-08-08 00:00:00 +0000
Steps;5000.0;6.487;2021-08-02 00:00:00 +0000
Steps;5000.0;5.136;2021-07-30 00:00:00 +0000
Steps;5000.0;8.096;2021-07-29 00:00:00 +0000
Steps;5000.0;7.178;2021-07-26 00:00:00 +0000
Steps;5000.0;12.468;2021-07-25 00:00:00 +0000
Steps;5000.0;6.707;2021-07-23 00:00:00 +0000
Steps;5000.0;8.255;2021-07-20 00:00:00 +0000
Steps;5000.0;11.733;2021-07-18 00:00:00 +0000
Steps;5000.0;14.340;2021-07-17 00:00:00 +0000
Steps;5000.0;6.296;2021-07-16 00:00:00 +0000
Steps;5000.0;18.324;2021-07-14 00:00:00 +0000
Steps;5000.0;5.089;2021-07-13 00:00:00 +0000
Steps;5000.0;15.293;2021-07-12 00:00:00 +0000
Steps;5000.0;16.505;2021-07-11 00:00:00 +0000
Steps;5000.0;15.428;2021-07-10 00:00:00 +0000
Steps;5000.0;6.203;2021-07-08 00:00:00 +0000
Steps;5000.0;14.580;2021-07-07 00:00:00 +0000
Steps;5000.0;12.885;2021-07-06 00:00:00 +0000
Steps;5000.0;11.523;2021-07-04 00:00:00 +0000
Steps;5000.0;6.941;2021-07-03 00:00:00 +0000
Steps;5000.0;5.365;2021-07-02 00:00:00 +0000
Steps;5000.0;9.331;2021-07-01 00:00:00 +0000
Steps;5000.0;5.943;2021-06-27 00:00:00 +0000
Steps;5000.0;13.071;2021-06-25 00:00:00 +0000
Steps;5000.0;5.012;2021-06-23 00:00:00 +0000
Steps;5000.0;7.283;2021-06-22 00:00:00 +0000
Steps;5000.0;11.194;2021-06-21 00:00:00 +0000
Steps;5000.0;6.608;2021-06-18 00:00:00 +0000
Steps;5000.0;11.152;2021-06-17 00:00:00 +0000
Steps;5000.0;5.433;2021-06-16 00:00:00 +0000
Steps;5000.0;11.911;2021-06-13 00:00:00 +0000
Steps;5000.0;10.056;2021-06-11 00:00:00 +0000
Steps;5000.0;14.311;2021-05-31 00:00:00 +0000
Steps;5000.0;11.345;2021-05-30 00:00:00 +0000
Steps;5000.0;10.399;2021-05-29 00:00:00 +0000
Steps;5000.0;5.122;2021-05-28 00:00:00 +0000
Steps;5000.0;7.920;2021-05-27 00:00:00 +0000
Steps;5000.0;5.013;2021-05-25 00:00:00 +0000
Steps;5000.0;9.425;2021-05-21 00:00:00 +0000
Steps;5000.0;5.008;2021-05-19 00:00:00 +0000
Steps;5000.0;14.484;2021-05-18 00:00:00 +0000
