HourlyStep;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter];hourIndex;weekDayIndex
2016-09-16 20:00:00 +0000;15;8;10.6;1;0;20;6
2016-09-16 21:00:00 +0000;38;22;26.0;2;0;21;6
2016-09-16 22:00:00 +0000;48;27;44.1;3;0;22;6
2016-09-16 23:00:00 +0000;19;11;17.5;1;1;23;6
2016-09-17 11:00:00 +0000;644;365;368.9;25;2;11;7
2016-09-17 12:00:00 +0000;333;189;227.8;16;2;12;7
2016-09-17 14:00:00 +0000;52;29;25.2;2;0;14;7
2016-09-17 15:00:00 +0000;25;14;11.8;1;0;15;7
2016-09-17 16:00:00 +0000;426;241;254.3;17;0;16;7
2016-09-17 17:00:00 +0000;221;125;141.3;10;1;17;7
2016-09-17 21:00:00 +0000;11;6;7.8;1;0;21;7
2016-09-17 22:00:00 +0000;56;32;40.1;3;0;22;7
2016-09-17 23:00:00 +0000;148;84;111.7;8;0;23;7
2016-09-18 12:00:00 +0000;191;108;111.4;8;2;12;1
2016-09-18 13:00:00 +0000;577;327;372.5;25;3;13;1
2016-09-18 14:00:00 +0000;453;257;309.8;21;0;14;1
2016-09-18 16:00:00 +0000;1219;690;827.2;57;3;16;1
2016-09-18 17:00:00 +0000;44;25;34.9;2;1;17;1
2016-09-18 18:00:00 +0000;45;25;34.2;2;0;18;1
2016-09-18 21:00:00 +0000;2;1;1.5;0;0;21;1
2016-09-18 22:00:00 +0000;8;5;6.5;0;0;22;1
2016-09-19 07:00:00 +0000;28;16;20.5;1;1;7;2
2016-09-19 08:00:00 +0000;680;385;489.5;33;8;8;2
2016-09-19 09:00:00 +0000;401;227;243.3;17;0;9;2
2016-09-19 10:00:00 +0000;3348;1896;2369.4;162;0;10;2
2016-09-19 11:00:00 +0000;2868;1624;1997.5;137;1;11;2
2016-09-19 12:00:00 +0000;1076;609;702.0;48;4;12;2
2016-09-19 13:00:00 +0000;98;56;58.6;4;0;13;2
2016-09-19 14:00:00 +0000;628;356;471.8;32;3;14;2
2016-09-19 15:00:00 +0000;7;4;5.3;0;0;15;2
2016-09-19 16:00:00 +0000;23;13;16.5;1;0;16;2
2016-09-19 19:00:00 +0000;7;4;5.5;0;0;19;2
2016-09-19 20:00:00 +0000;1;1;0.5;0;0;20;2
2016-09-19 21:00:00 +0000;22;12;13.9;1;0;21;2
2016-09-19 22:00:00 +0000;90;51;50.2;3;0;22;2
2016-09-19 23:00:00 +0000;129;73;78.1;5;0;23;2
2016-09-20 08:00:00 +0000;677;383;470.9;32;8;8;3
2016-09-20 09:00:00 +0000;215;122;130.3;9;0;9;3
2016-09-20 10:00:00 +0000;2023;1146;1221.6;84;5;10;3
2016-09-20 11:00:00 +0000;317;180;179.1;12;0;11;3
2016-09-20 12:00:00 +0000;2213;1253;1396.9;96;5;12;3
2016-09-20 13:00:00 +0000;849;481;510.2;35;6;13;3
2016-09-20 14:00:00 +0000;182;103;113.5;8;1;14;3
2016-09-20 15:00:00 +0000;45;25;36.6;3;0;15;3
2016-09-20 16:00:00 +0000;1047;593;686.0;47;3;16;3
