MonthlyStep;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter];monthIndex
2016-09-01 00:00:00 +0000;71943;40749;47009.7;3214;251;9
2016-10-01 00:00:00 +0000;116655;66073;76950.1;5254;325;10
2016-11-01 00:00:00 +0000;88356;50045;59127.6;4041;392;11
2016-12-01 00:00:00 +0000;63632;36041;41714.6;2857;286;12
2017-01-01 00:00:00 +0000;87285;49438;55656.1;3805;319;1
2017-02-01 00:00:00 +0000;95342;54002;61756.0;4222;345;2
2017-03-01 00:00:00 +0000;165699;93852;109491.9;7481;638;3
2017-04-01 00:00:00 +0000;136973;77582;92115.9;6296;254;4
2017-05-01 00:00:00 +0000;174513;98844;113452.7;7749;309;5
2017-06-01 00:00:00 +0000;97203;55056;63679.4;4346;356;6
2017-07-01 00:00:00 +0000;46410;26287;30692.7;2092;92;7
2017-08-01 00:00:00 +0000;143432;81240;91947.1;6285;466;8
2017-09-01 00:00:00 +0000;159391;90279;97135.1;6637;540;9
2017-10-01 00:00:00 +0000;119658;67774;73851.7;5045;326;10
2017-11-01 00:00:00 +0000;140012;79303;88134.1;6029;442;11
2017-12-01 00:00:00 +0000;104120;58974;65271.1;4471;367;12
2018-01-01 00:00:00 +0000;136758;77460;86436.6;5912;369;1
2018-02-01 00:00:00 +0000;129910;73581;80398.7;5500;348;2
2018-03-01 00:00:00 +0000;155805;88248;97341.1;6656;364;3
2018-04-01 00:00:00 +0000;162576;92083;104490.5;7149;426;4
2018-05-01 00:00:00 +0000;192630;109106;126398.5;8648;581;5
2018-06-01 00:00:00 +0000;135033;76483;89827.0;6134;325;6
2018-07-01 00:00:00 +0000;92520;52403;61855.9;4224;130;7
2018-08-01 00:00:00 +0000;72733;41196;47556.5;3254;42;8
2018-09-01 00:00:00 +0000;147089;83311;102574.1;7041;77;9
2018-10-01 00:00:00 +0000;230259;130419;188226.9;12886;99;10
2018-11-01 00:00:00 +0000;239221;134186;191341.7;13092;70;11
2018-12-01 00:00:00 +0000;95423;54048;68338.0;4656;68;12
2019-01-01 00:00:00 +0000;75932;43008;52556.8;3590;38;1
2019-02-01 00:00:00 +0000;95112;53871;65212.2;4459;108;2
2019-03-01 00:00:00 +0000;189615;107398;130223.2;8906;263;3
2019-04-01 00:00:00 +0000;102343;57967;70159.5;4801;95;4
2019-05-01 00:00:00 +0000;102206;57889;70981.0;4861;56;5
2019-06-01 00:00:00 +0000;149144;84475;100319.2;6852;73;6
2019-07-01 00:00:00 +0000;52897;29961;37026.6;2535;147;7
2019-08-01 00:00:00 +0000;106519;60332;70844.8;4845;404;8
2019-09-01 00:00:00 +0000;151297;85695;100879.3;6889;494;9
2019-10-01 00:00:00 +0000;131348;74396;89539.8;6123;490;10
2019-11-01 00:00:00 +0000;168613;95502;114139.6;7802;618;11
2019-12-01 00:00:00 +0000;179671;101766;121415.4;8302;604;12
2020-01-01 00:00:00 +0000;187721;106325;127099.1;8691;534;1
2020-02-01 00:00:00 +0000;171156;96943;121091.0;8274;443;2
2020-03-01 00:00:00 +0000;134123;75967;90299.0;6177;337;3
2020-04-01 00:00:00 +0000;132486;75040;89720.7;6133;267;4
2020-05-01 00:00:00 +0000;163435;92570;113739.6;7782;324;5
2020-06-01 00:00:00 +0000;197667;111959;136680.8;9337;541;6
2020-07-01 00:00:00 +0000;161320;91372;113435.4;7760;405;7
2020-08-01 00:00:00 +0000;103104;58398;71634.2;4893;250;8
2020-09-01 00:00:00 +0000;160566;90945;110449.9;7545;436;9
2020-10-01 00:00:00 +0000;156078;88403;106716.5;7291;336;10
2020-11-01 00:00:00 +0000;173881;98486;117443.5;8018;392;11
2020-12-01 00:00:00 +0000;104527;59204;71907.1;4911;262;12
2021-01-01 00:00:00 +0000;101799;57659;71164.2;4862;187;1
2021-02-01 00:00:00 +0000;175916;99639;117690.2;8055;218;2
2021-03-01 00:00:00 +0000;123950;70205;83587.7;5727;210;3
2021-04-01 00:00:00 +0000;168174;95254;117687.0;8046;349;4
2021-05-01 00:00:00 +0000;193725;109726;133042.2;9098;359;5
2021-06-01 00:00:00 +0000;133212;75451;93741.1;6414;250;6
2021-07-01 00:00:00 +0000;246764;139767;168103.4;11503;314;7
2021-08-01 00:00:00 +0000;207875;135934;145893.9;9986;429;8
2021-09-01 00:00:00 +0000;207026;247122;147893.7;10112;326;9
2021-10-01 00:00:00 +0000;177704;274240;125605.4;8592;336;10
2021-11-01 00:00:00 +0000;187;698;130.1;9;1;11
